pair_idx,dt,curr_x,curr_y,curr_z,curr_roll,curr_pitch,curr_yaw,curr_vx,curr_vy,curr_vz,curr_wx,curr_wy,curr_wz,curr_ax,curr_ay,curr_az,curr_alpha_x,curr_alpha_y,curr_alpha_z,thrust,torque_roll,torque_pitch,torque_yaw,next_x,next_y,next_z,next_roll,next_pitch,next_yaw,next_vx,next_vy,next_vz,next_wx,next_wy,next_wz,next_ax,next_ay,next_az,next_alpha_x,next_alpha_y,next_alpha_z
7709,0.019998,-0.247578,0.381497,0.961280,-0.002828,0.000307,1.428044,-0.176410,0.177253,0.644456,0.006845,-0.051276,0.616239,-0.246663,-0.220025,0.150556,0.002267,-0.043953,0.635201,-0.108371,-0.006456,0.003112,0.255623,-0.250949,0.384859,0.967285,-0.002811,0.000071,1.428830,-0.173639,0.177337,0.646403,0.004073,-0.045521,0.624598,-0.180555,-0.141547,0.173792,0.003407,-0.045927,0.630129
7710,0.019998,-0.795266,-0.901554,-1.122610,-0.003781,-0.000547,1.832321,-0.056394,-0.048291,-0.719125,0.057982,-0.001175,0.181797,-0.195857,0.395722,0.102496,-0.058084,-0.141197,0.184316,-0.387979,2.044084,2.091848,-0.854837,-0.796403,-0.902277,-1.125603,-0.004398,-0.001381,1.832502,-0.055437,-0.047500,-0.720906,-0.234073,-0.285339,0.178999,-0.073923,0.246367,0.135086,-0.306745,-0.323243,0.184982
7711,0.019982,0.503575,1.526970,0.784840,0.045221,0.365040,1.598192,-0.076315,-1.411907,-0.121296,-0.071616,-1.092430,-0.045432,1.700170,-0.143663,-4.366665,-0.079134,-1.198260,-0.052243,3.891943,-0.155965,-1.071422,-0.269504,0.499996,1.484052,0.780352,0.044651,0.358464,1.597903,-0.100336,-1.654986,-0.377618,-0.101501,-1.343653,-0.041336,1.546246,-0.200394,-4.272195,-0.101299,-1.365462,-0.049651
7712,0.020002,0.122620,-0.020900,0.494004,0.004000,-0.003273,1.366133,-0.191329,0.243204,0.768605,0.010843,0.054073,0.476566,-0.263088,-0.272869,0.051801,0.005903,0.051352,0.499086,-0.022177,-0.061684,-0.006158,0.576839,0.118620,-0.016406,0.499509,0.004059,-0.002998,1.366739,-0.192003,0.245304,0.760699,0.009888,0.048287,0.479494,-0.210752,-0.343229,0.073004,0.008876,0.047871,0.493865
7713,0.020008,0.239599,0.059482,-0.042827,0.004402,-0.002714,1.562913,-0.015158,-0.018388,-0.070914,-0.016503,-0.132064,0.028445,-0.274803,0.045817,0.088384,-0.016000,-0.134131,0.032947,-0.039930,-0.002643,0.037997,0.040624,0.240031,0.059721,-0.042976,0.004341,-0.003186,1.562944,-0.016429,-0.016504,-0.074193,-0.015780,-0.132400,0.027444,-0.075094,0.054772,0.093530,-0.017932,-0.126675,0.013343
7714,0.019993,0.208276,-0.013653,1.336951,-0.000651,-0.000148,1.575560,-0.006279,-0.007201,-0.114672,0.039863,0.004514,-0.021041,0.255969,-0.006609,0.163647,0.041102,0.007120,-0.025809,-0.105643,-0.001367,0.010005,0.003067,0.209211,-0.013530,1.336379,-0.000515,-0.000120,1.575518,-0.005164,-0.006151,-0.114647,0.036872,0.006094,0.016176,0.153544,0.067934,0.140833,0.035361,0.011245,-0.011499
7715,0.019997,-0.218939,-0.006676,0.521158,-0.291243,0.002358,1.573769,-0.460657,0.083989,-0.419686,-1.434503,0.103914,0.060343,-0.033565,-0.095444,-1.726220,-1.272140,0.108299,0.077319,1.884744,6.006622,-0.038024,-0.071624,-0.224479,-0.003876,0.517566,-0.296828,0.002905,1.573586,-0.283830,0.085883,-0.499371,-0.754288,0.117472,0.074781,-0.059482,-0.372037,-1.812495,-0.695621,0.117830,0.075672
7716,0.020011,0.224622,-0.009960,1.324247,0.002392,0.001062,1.574477,0.000033,0.005430,-0.097778,0.023367,0.021687,-0.019151,0.042823,-0.039624,0.185986,0.023025,0.019243,-0.017515,-0.147897,-0.036980,-0.031674,0.041172,0.225251,-0.009956,1.323604,0.002484,0.001131,1.574430,-0.000348,0.005487,-0.095331,0.024748,0.017392,-0.004879,-0.018527,0.059471,0.191068,0.024285,0.015940,-0.013702
7717,0.020140,0.301613,-1.257491,0.305671,-0.003913,-0.010976,1.607777,-0.841392,0.117118,0.987311,-0.155035,0.047845,2.338791,-0.229042,-1.003751,0.196743,-0.152162,0.046458,2.354291,-0.156278,0.082375,-0.035279,-1.657108,0.284020,-1.255425,0.313378,-0.004762,-0.010699,1.610827,-0.836262,0.124051,0.992962,-0.143325,0.052351,2.320961,0.000074,-1.001193,0.204740,-0.143478,0.055119,2.329263
7718,0.020005,-0.772825,-0.856204,0.582956,-0.003545,-0.001820,1.707419,-0.096124,0.039209,-0.996734,-0.196213,-0.180224,0.395849,0.207745,-0.338678,0.073660,-0.161551,-0.091405,0.388923,-0.267962,0.009030,-0.912447,0.430229,-0.774451,-0.855510,0.576247,-0.003922,-0.001383,1.707958,-0.092823,0.041759,-0.998831,0.014217,0.207497,0.418683,0.124423,-0.189889,0.162643,0.036338,0.234590,0.421356
